problem,nl_goal,gt_pddl_goal,gt_plan,proposed_plan
train/look_at_obj_in_light-TissueBox-None-FloorLamp-225/trial_T20190907_150815_536818,to see the tissue box in the lamp light.,"(:goal
        (exists (?a - agent)
        (exists (?r - receptacle)
        (exists (?o - object)
        (exists (?ot - object)
        (exists (?l - location)
            (and 
                (objectType ?ot FloorLampType)
                (toggleable ?ot)
                (isToggled ?ot) 
                (objectAtLocation ?ot ?l)
                (atLocation ?a ?l)
                (objectType ?o TissueBoxType)
                (holds ?a ?o)
            )
    ))))))","(GotoLocation tissuebox)
(PickupObject tissuebox)
(GotoLocation floorlamp)
(ToggleObject floorlamp)","(GotoLocation tissuebox)
(GotoLocation lamp)
(TurnOnObject lamp)
(GotoLocation tissuebox)
(TakeObject tissuebox)
(GotoLocation lamp)
(PutObject tissuebox lamp)
"
train/look_at_obj_in_light-TissueBox-None-FloorLamp-225/trial_T20190907_150815_536818,to see the tissue box in the lamp light.,"(:goal
        (exists (?a - agent)
        (exists (?r - receptacle)
        (exists (?o - object)
        (exists (?ot - object)
        (exists (?l - location)
            (and 
                (objectType ?ot FloorLampType)
                (toggleable ?ot)
                (isToggled ?ot) 
                (objectAtLocation ?ot ?l)
                (atLocation ?a ?l)
                (objectType ?o TissueBoxType)
                (holds ?a ?o)
            )
    ))))))","(GotoLocation tissuebox)
(PickupObject tissuebox)
(GotoLocation floorlamp)
(ToggleObject floorlamp)","(GotoLocation desklamp)
(TurnOnObject desklamp)
(GotoLocation tissuebox)
"
train/look_at_obj_in_light-TissueBox-None-FloorLamp-225/trial_T20190907_150815_536818,to see the tissue box in the lamp light.,"(:goal
        (exists (?a - agent)
        (exists (?r - receptacle)
        (exists (?o - object)
        (exists (?ot - object)
        (exists (?l - location)
            (and 
                (objectType ?ot FloorLampType)
                (toggleable ?ot)
                (isToggled ?ot) 
                (objectAtLocation ?ot ?l)
                (atLocation ?a ?l)
                (objectType ?o TissueBoxType)
                (holds ?a ?o)
            )
    ))))))","(GotoLocation tissuebox)
(PickupObject tissuebox)
(GotoLocation floorlamp)
(ToggleObject floorlamp)","(GotoLocation desklamp)
(TurnOnLamp desklamp)
(GotoLocation tissuebox)
(GotoLocation desklamp)
(TurnOffLamp desklamp)
"
train/pick_cool_then_place_in_recep-WineBottle-None-GarbageCan-16/trial_T20190907_015045_510934,"chill bottle in refrigerator , throw in trash can to front left of paper towels.","(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o WineBottleType) 
                (receptacleType ?r GarbageCanType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject winebottle)
(GotoLocation fridge)
(CoolObject winebottle)
(GotoLocation garbagecan)
(PutObject winebottle garbagecan)","(GotoLocation refrigerator)
(PickupObject bottle)
(PutObject bottle refrigerator)
(GotoLocation papertowels)
(ThrowObject bottle papertowels)
"
train/pick_cool_then_place_in_recep-WineBottle-None-GarbageCan-16/trial_T20190907_015045_510934,"chill bottle in refrigerator , throw in trash can to front left of paper towels.","(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o WineBottleType) 
                (receptacleType ?r GarbageCanType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject winebottle)
(GotoLocation fridge)
(CoolObject winebottle)
(GotoLocation garbagecan)
(PutObject winebottle garbagecan)","(GotoLocation fridge)
(PickupObject bottle)
(GotoLocation sink)
(FillObject sinkbasin)
(GotoLocation fridge)
(PutObject bottle fridge)
(GotoLocation papertowels)
(ThrowObject bottle papertowels)
(GotoLocation trashcan)
(ThrowObject bottle trashcan)
"
train/pick_cool_then_place_in_recep-WineBottle-None-GarbageCan-16/trial_T20190907_015045_510934,"chill bottle in refrigerator , throw in trash can to front left of paper towels.","(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o WineBottleType) 
                (receptacleType ?r GarbageCanType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject winebottle)
(GotoLocation fridge)
(CoolObject winebottle)
(GotoLocation garbagecan)
(PutObject winebottle garbagecan)","(GotoLocation countertop)
(PickupObject bottle)
(GotoLocation fridge)
(PutObject bottle fridge)
(GotoLocation paper towels)
(PutObject bottle trashcan_frontleft)
"
train/pick_cool_then_place_in_recep-WineBottle-None-GarbageCan-16/trial_T20190907_015045_510934,"chill bottle in refrigerator , throw in trash can to front left of paper towels.","(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o WineBottleType) 
                (receptacleType ?r GarbageCanType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject winebottle)
(GotoLocation fridge)
(CoolObject winebottle)
(GotoLocation garbagecan)
(PutObject winebottle garbagecan)","(GotoLocation fridge)
(PickupObject bottle)
(PutObject bottle fridge)
(GotoLocation paper towels)
(ThrowObject bottle trashcan)
"
train/pick_cool_then_place_in_recep-WineBottle-None-GarbageCan-16/trial_T20190907_015045_510934,"chill bottle in refrigerator , throw in trash can to front left of paper towels.","(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o WineBottleType) 
                (receptacleType ?r GarbageCanType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject winebottle)
(GotoLocation fridge)
(CoolObject winebottle)
(GotoLocation garbagecan)
(PutObject winebottle garbagecan)","(GotoLocation fridge)
(PutObject bottle fridge)
(GotoLocation countertop)
(GotoLocation trashcan)
(PutObject bottle trashcan)
(GotoLocation paper towels)
(ThrowObject bottle paper towels)
"
train/pick_and_place_simple-Pencil-None-Shelf-310/trial_T20190908_023618_136375,move a pencil to the desk shelf.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o PencilType) 
                (receptacleType ?r ShelfType)
                (inReceptacle ?o ?r) 
            )
    )))","(GotoLocation desk)
(PickupObject pencil)
(GotoLocation shelf)
(PutObject pencil shelf)","(GotoLocation desk)
(PickupObject pencil)
(GotoLocation deskshelf)
(PutObject pencil deskshelf)
"
train/pick_and_place_simple-Pencil-None-Shelf-310/trial_T20190908_023618_136375,move a pencil to the desk shelf.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o PencilType) 
                (receptacleType ?r ShelfType)
                (inReceptacle ?o ?r) 
            )
    )))","(GotoLocation desk)
(PickupObject pencil)
(GotoLocation shelf)
(PutObject pencil shelf)","(GotoLocation desk)
(PickupObject pencil)
(GotoLocation shelf)
(PutObject pencil shelf)
"
train/pick_and_place_simple-Pencil-None-Shelf-310/trial_T20190908_023618_136375,move a pencil to the desk shelf.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o PencilType) 
                (receptacleType ?r ShelfType)
                (inReceptacle ?o ?r) 
            )
    )))","(GotoLocation desk)
(PickupObject pencil)
(GotoLocation shelf)
(PutObject pencil shelf)","(GotoLocation desk)
(PickupObject pencil)
(GotoLocation shelf)
(PutObject pencil shelf)
"
train/pick_and_place_simple-Pencil-None-Shelf-310/trial_T20190908_023618_136375,move a pencil to the desk shelf.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o PencilType) 
                (receptacleType ?r ShelfType)
                (inReceptacle ?o ?r) 
            )
    )))","(GotoLocation desk)
(PickupObject pencil)
(GotoLocation shelf)
(PutObject pencil shelf)","(GotoLocation desk)
(PickupObject pencil)
(GotoLocation deskshelf)
(PutObject pencil deskshelf)
"
train/pick_and_place_simple-Pencil-None-Shelf-310/trial_T20190908_023618_136375,move a pencil to the desk shelf.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o PencilType) 
                (receptacleType ?r ShelfType)
                (inReceptacle ?o ?r) 
            )
    )))","(GotoLocation desk)
(PickupObject pencil)
(GotoLocation shelf)
(PutObject pencil shelf)","(GotoLocation desk)
(PickupObject pencil)
(GotoLocation deskshelf)
(PutObject pencil deskshelf)
"
train/pick_heat_then_place_in_recep-Mug-None-Cabinet-6/trial_T20190908_034437_632398,to take a mug from the microwave to put it away in the cabinet.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o MugType) 
                (receptacleType ?r CabinetType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject mug)
(GotoLocation microwave)
(HeatObject mug)
(GotoLocation cabinet)
(PutObject mug cabinet)","(GotoLocation microwave)
(PickupObject mug)
(GotoLocation cabinet)
(PutObject mug cabinet)
"
train/pick_heat_then_place_in_recep-Mug-None-Cabinet-6/trial_T20190908_034437_632398,to take a mug from the microwave to put it away in the cabinet.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o MugType) 
                (receptacleType ?r CabinetType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject mug)
(GotoLocation microwave)
(HeatObject mug)
(GotoLocation cabinet)
(PutObject mug cabinet)","(GotoLocation microwave)
(PickupObject mug)
(GotoLocation cabinet)
(PutObject mug cabinet)
"
train/pick_heat_then_place_in_recep-Mug-None-Cabinet-6/trial_T20190908_034437_632398,to take a mug from the microwave to put it away in the cabinet.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o MugType) 
                (receptacleType ?r CabinetType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject mug)
(GotoLocation microwave)
(HeatObject mug)
(GotoLocation cabinet)
(PutObject mug cabinet)","(GotoLocation microwave)
(PickupObject mug)
(GotoLocation cabinet)
(PutObject mug cabinet)
"
train/pick_heat_then_place_in_recep-Mug-None-Cabinet-6/trial_T20190908_034437_632398,to take a mug from the microwave to put it away in the cabinet.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o MugType) 
                (receptacleType ?r CabinetType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject mug)
(GotoLocation microwave)
(HeatObject mug)
(GotoLocation cabinet)
(PutObject mug cabinet)","(GotoLocation microwave)
(PickupObject mug)
(GotoLocation cabinet)
(PutObject mug cabinet)
"
train/pick_heat_then_place_in_recep-Mug-None-Cabinet-6/trial_T20190908_034437_632398,to take a mug from the microwave to put it away in the cabinet.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o MugType) 
                (receptacleType ?r CabinetType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject mug)
(GotoLocation microwave)
(HeatObject mug)
(GotoLocation cabinet)
(PutObject mug cabinet)","(GotoLocation microwave)
(PickupObject mug)
(GotoLocation cabinet)
(PutObject mug cabinet)
"
train/pick_and_place_simple-AppleSliced-None-Fridge-30/trial_T20190907_105523_799331,carry a knife to cut the yellow apple in the fridge.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o AppleType) 
                (receptacleType ?r FridgeType)
                (inReceptacle ?o ?r) 
                (sliceable ?o)
                (isSliced ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject knife)
(GotoLocation apple)
(SliceObject apple)","(GotoLocation fridge)
(PickupObject knife)
(GotoLocation countertop)
(GotoLocation fridge)
(PickupObject apple)
(GotoLocation countertop)
(CutObject apple knife)
(PutObject apple countertop)
"
train/pick_and_place_simple-AppleSliced-None-Fridge-30/trial_T20190907_105523_799331,carry a knife to cut the yellow apple in the fridge.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o AppleType) 
                (receptacleType ?r FridgeType)
                (inReceptacle ?o ?r) 
                (sliceable ?o)
                (isSliced ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject knife)
(GotoLocation apple)
(SliceObject apple)","(GotoLocation fridge)
(PickupObject knife)
(GotoLocation countertop)
(GotoLocation fridge)
(PickupObject apple)
(GotoLocation countertop)
(CutObject apple knife)
"
train/pick_and_place_simple-AppleSliced-None-Fridge-30/trial_T20190907_105523_799331,carry a knife to cut the yellow apple in the fridge.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o AppleType) 
                (receptacleType ?r FridgeType)
                (inReceptacle ?o ?r) 
                (sliceable ?o)
                (isSliced ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject knife)
(GotoLocation apple)
(SliceObject apple)","(GotoLocation fridge)
(PickupObject knife)
(GotoLocation apple)
(CutObject apple knife)
"
train/pick_and_place_simple-AppleSliced-None-Fridge-30/trial_T20190907_105523_799331,carry a knife to cut the yellow apple in the fridge.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o AppleType) 
                (receptacleType ?r FridgeType)
                (inReceptacle ?o ?r) 
                (sliceable ?o)
                (isSliced ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject knife)
(GotoLocation apple)
(SliceObject apple)","(GotoLocation countertop)
(PickupObject knife)
(GotoLocation fridge)
(PickupObject apple)
(CutObject apple knife)
"
train/pick_and_place_simple-AppleSliced-None-Fridge-30/trial_T20190907_105523_799331,carry a knife to cut the yellow apple in the fridge.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o AppleType) 
                (receptacleType ?r FridgeType)
                (inReceptacle ?o ?r) 
                (sliceable ?o)
                (isSliced ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject knife)
(GotoLocation apple)
(SliceObject apple)","(GotoLocation fridge)
(PickupObject knife)
(GotoLocation diningtable)
(GotoLocation fridge)
(PickupObject apple)
(CutObject apple knife)
"
train/pick_and_place_simple-AppleSliced-None-Fridge-30/trial_T20190907_105723_672392,place an apple slice inside of the fridge.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o AppleType) 
                (receptacleType ?r FridgeType)
                (inReceptacle ?o ?r) 
                (sliceable ?o)
                (isSliced ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject knife)
(GotoLocation apple)
(SliceObject apple)
(GotoLocation fridge)
(PutObject knife fridge)
(GotoLocation microwave)
(PickupObject apple)
(GotoLocation fridge)
(PutObject apple fridge)","(GotoLocation diningtable)
(PickupObject knife)
(SliceObject apple knife)
(GotoLocation fridge)
(PutObject apple_slice fridge)
"
train/pick_and_place_simple-AppleSliced-None-Fridge-30/trial_T20190907_105723_672392,place an apple slice inside of the fridge.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o AppleType) 
                (receptacleType ?r FridgeType)
                (inReceptacle ?o ?r) 
                (sliceable ?o)
                (isSliced ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject knife)
(GotoLocation apple)
(SliceObject apple)
(GotoLocation fridge)
(PutObject knife fridge)
(GotoLocation microwave)
(PickupObject apple)
(GotoLocation fridge)
(PutObject apple fridge)","(GotoLocation countertop)
(PickupObject knife)
(GotoLocation sidetable)
(PickupObject apple)
(SliceObject apple knife)
(GotoLocation fridge)
(PutObject apple_slice fridge)
"
train/pick_and_place_simple-AppleSliced-None-Fridge-30/trial_T20190907_105723_672392,place an apple slice inside of the fridge.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o AppleType) 
                (receptacleType ?r FridgeType)
                (inReceptacle ?o ?r) 
                (sliceable ?o)
                (isSliced ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject knife)
(GotoLocation apple)
(SliceObject apple)
(GotoLocation fridge)
(PutObject knife fridge)
(GotoLocation microwave)
(PickupObject apple)
(GotoLocation fridge)
(PutObject apple fridge)","(GotoLocation countertop)
(PickupObject knife)
(GotoLocation sidetable)
(PickupObject apple)
(CutObject apple knife)
(GotoLocation fridge)
(PutObject apple fridge)
"
train/pick_and_place_simple-AppleSliced-None-Fridge-30/trial_T20190907_105723_672392,place an apple slice inside of the fridge.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o AppleType) 
                (receptacleType ?r FridgeType)
                (inReceptacle ?o ?r) 
                (sliceable ?o)
                (isSliced ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject knife)
(GotoLocation apple)
(SliceObject apple)
(GotoLocation fridge)
(PutObject knife fridge)
(GotoLocation microwave)
(PickupObject apple)
(GotoLocation fridge)
(PutObject apple fridge)","(GotoLocation countertop)
(PickupObject apple)
(GotoLocation cuttingboard)
(CutObject apple cuttingboard)
(GotoLocation fridge)
(PutObject apple fridge)
"
train/pick_and_place_simple-AppleSliced-None-Fridge-30/trial_T20190907_105723_672392,place an apple slice inside of the fridge.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o AppleType) 
                (receptacleType ?r FridgeType)
                (inReceptacle ?o ?r) 
                (sliceable ?o)
                (isSliced ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject knife)
(GotoLocation apple)
(SliceObject apple)
(GotoLocation fridge)
(PutObject knife fridge)
(GotoLocation microwave)
(PickupObject apple)
(GotoLocation fridge)
(PutObject apple fridge)","(GotoLocation countertop)
(PickupObject knife)
(GotoLocation sidetable)
(PickupObject apple)
(SliceObject apple knife)
(GotoLocation fridge)
(PutObject apple fridge)
"
train/pick_cool_then_place_in_recep-Potato-None-SinkBasin-24/trial_T20190909_052222_333703,put the chilled potato in the sink.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o PotatoType) 
                (receptacleType ?r SinkBasinType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject potato)
(GotoLocation fridge)
(CoolObject potato)
(GotoLocation sinkbasin)
(PutObject potato sinkbasin)","(GotoLocation fridge)
(PickupObject potato)
(GotoLocation sink)
(PutObject potato sink)
"
train/pick_cool_then_place_in_recep-Potato-None-SinkBasin-24/trial_T20190909_052222_333703,put the chilled potato in the sink.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o PotatoType) 
                (receptacleType ?r SinkBasinType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject potato)
(GotoLocation fridge)
(CoolObject potato)
(GotoLocation sinkbasin)
(PutObject potato sinkbasin)","(GotoLocation fridge)
(PickupObject potato)
(GotoLocation sinkbasin)
(PutObject potato sinkbasin)
"
train/pick_cool_then_place_in_recep-Potato-None-SinkBasin-24/trial_T20190909_052222_333703,put the chilled potato in the sink.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o PotatoType) 
                (receptacleType ?r SinkBasinType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject potato)
(GotoLocation fridge)
(CoolObject potato)
(GotoLocation sinkbasin)
(PutObject potato sinkbasin)","(GotoLocation fridge)
(PickupObject potato)
(GotoLocation sink)
(PutObject potato sink)
"
